Ionic radius ,Temperature,Frequency
1.82e-10,60,430.0
1.82e-10,60,398.0
1.82e-10,60,369.0
1.82e-10,60,341.0
1.82e-10,60,316.0
1.82e-10,60,293.0
1.82e-10,60,271.0
1.82e-10,60,251.0
1.82e-10,60,233.0
1.82e-10,60,215.0
1.82e-10,60,200.0
1.82e-10,60,185.0
1.82e-10,60,171.0
1.82e-10,60,159.0
1.82e-10,60,147.0
1.82e-10,60,136.0
1.82e-10,60,126.0
1.82e-10,60,117.0
1.82e-10,60,108.0
1.82e-10,60,100.0
1.82e-10,60,92.6
1.82e-10,60,85.8
1.82e-10,60,79.4
1.82e-10,60,73.6
1.82e-10,60,68.1
1.82e-10,60,63.1
1.82e-10,60,58.4
1.82e-10,60,54.1
1.82e-10,60,50.1
1.82e-10,60,46.4
1.82e-10,60,43.0
1.82e-10,60,39.8
1.82e-10,60,36.9
1.82e-10,60,34.1
1.82e-10,60,31.6
1.82e-10,60,29.3
1.82e-10,60,27.1
1.82e-10,60,25.1
1.82e-10,60,23.3
1.82e-10,60,21.6
1.82e-10,60,20.0
1.82e-10,60,18.5
1.82e-10,60,17.1
1.82e-10,60,15.8
1.82e-10,60,14.7
1.82e-10,60,13.6
1.82e-10,60,12.6
1.82e-10,60,11.7
1.82e-10,60,10.8
1.82e-10,60,10.0
1.82e-10,60,9.26
1.82e-10,60,8.58
1.82e-10,60,7.94
1.82e-10,60,7.36
1.82e-10,60,6.81
1.82e-10,60,6.31
1.82e-10,60,5.84
1.82e-10,60,5.41
1.82e-10,60,5.01
1.82e-10,60,4.64
1.82e-10,60,4.3
1.82e-10,60,3.98
1.82e-10,60,3.69
1.82e-10,60,3.41
1.82e-10,60,3.16
1.82e-10,60,2.93
1.82e-10,60,2.71
1.82e-10,60,2.51
1.82e-10,60,2.33
1.82e-10,60,2.15
1.82e-10,60,2.0
1.82e-10,60,1.85
1.82e-10,60,1.71
1.82e-10,60,1.58
